Year, TUNA LITTLE TUNNY, TUNA YELLOWFIN, TUNA BLACKFIN, TUNA BLUEFIN, TUNA SKIPJACK, TUNA BIGEYE, TUNA ALBACORE,
2017, 9545588, 3411795, 3180138, 185718, 914230, 3358, 28867,
2016, 10284398, 4266153, 3956866, 237857, 636433, 138032, 71280,
2015, 15643597, 9315740, 2271681, 0, 1885746, 63778, 15135,
2014, 10499582, 6034017, 1911927, 202279, 1211097, 1151682, 0,
2013, 9809451, 15937689, 5512111, 1830328, 4502897, 878369, 4633335,
2012, 10109382, 16479429, 6202899, 798525, 1593451, 1031735, 9767,
2011, 6242574, 10831664, 2788700, 2517435, 1461607, 447677, 81503,
2010, 5180548, 14252794, 3344542, 3682999, 2050920, 412519, 7789,
2009, 6489499, 16968603, 2948539, 4590649, 2892503, 211142, 225,
2008, 5085759, 16972926, 3926482, 1704571, 5181722, 155591, 402586,
2007, 7030142, 22687543, 2668538, 2810394, 2764752, 551262, 2681405,
2006, 6898455, 17210497, 3297015, 893305, 1584208, 582027, 215764,
2005, 4494977, 19858265, 1064468, 2387359, 1669958, 2494095, 562466,
2004, 10020115, 14175570, 2763193, 4407089, 2412119, 43125, 2329144,
2003, 6406833, 29916357, 2913842, 3374770, 2691999, 144769, 4292240,
2002, 8225366, 11876566, 2390973, 2377947, 298871, 18570, 8165053,
2001, 6145538, 22709275, 2134586, 7610337, 244966, 764626, 5065889,
2000, 6450224, 18641342, 2036529, 9398451, 89675, 87618, 2965689,
1999, 8463482, 13134288, 3818472, 1763490, 898499, 584202, 5413279,
1998, 7844637, 9548130, 3365293, 2518970, 558517, 158096, 4516991,
1997, 5784155, 18690616, 1001391, 4881414, 541606, 928438, 2423985,
1996, 7568744, 10835781, 1687403, 747342, 209972, 206092, 622169,
1995, 7372452, 23295328, 1927352, 2848123, 492887, 9591, 682161,
1994, 7315379, 21074888, 2059861, 4853080, 368625, 608301, 1005171,
1993, 7994885, 8064454, 2180970, 4258920, 1159529, 327565, 1465068,
1992, 10104189, 4257783, 1013381, 918825, 267576, 157130, 334050,
1991, 11306387, 9040218, 1238529, 6673345, 278448, 665368, 1436919,
1990, 13580401, 4377325, 5281791, 5619585, 1437232, 129054, 1310607,
1989, 8596248, 27177879, 910993, 16102119, 1129629, 3332541, 2264201,
1988, 2198515, 4947933, 328544, 1348886, 1663955, 314258, 485364,
1987, 9923433, 67126098, 4365060, 6189911, 557838, 163815, 8966754,
1986, 8811756, 20666235, 36800483, 5547258, 1758962, 3120077, 2949139,
1985, 4847876, 4700218, 926847, 4642990, 996905, 0, 3393808,
1984, 6216851, 1120217, 2899968, 5655687, 624596, 0, 33654811,
1983, 6719346, 4283612, 1069040, 7491250, 1859986, 57494, 3975075,
1982, 3052784, 5364720, 1295519, 1328324, 1001867, 90989, 2436990,
1981, 3706183, 2077773, 777426, 2293508, 594838, 0, 1105757,
